True
Starting training...
python traineval.py --ek_version=ek100 --epochs=30 --batch_size=32
training dataset size: 24148
evaluation dataset size: 401
Epoch:0 (86/755) Data: 0.000711s | Batch: 0.121s | future_traj_r_loss: 0.182 | future_traj_l_loss: 0.232 | rec_r_loss: 0.135| rec_l_loss: 0.138| total_loss: 0.692 | future_valid_r: 32.0 | future_valid_l: 25.0 | obj_loss: 0.033 
Epoch:0 (87/755) Data: 0.000712s | Batch: 0.121s | future_traj_r_loss: 0.221 | future_traj_l_loss: 0.162 | rec_r_loss: 0.136| rec_l_loss: 0.134| total_loss: 0.574 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.034 
Epoch:0 (88/755) Data: 0.000724s | Batch: 0.121s | future_traj_r_loss: 0.187 | future_traj_l_loss: 0.226 | rec_r_loss: 0.133| rec_l_loss: 0.133| total_loss: 0.633 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.038 
Epoch:0 (89/755) Data: 0.000674s | Batch: 0.120s | future_traj_r_loss: 0.223 | future_traj_l_loss: 0.203 | rec_r_loss: 0.136| rec_l_loss: 0.141| total_loss: 0.645 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.047 
Epoch:0 (90/755) Data: 0.000713s | Batch: 0.120s | future_traj_r_loss: 0.132 | future_traj_l_loss: 0.201 | rec_r_loss: 0.136| rec_l_loss: 0.129| total_loss: 0.565 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.039 
Epoch:0 (91/755) Data: 0.000683s | Batch: 0.119s | future_traj_r_loss: 0.202 | future_traj_l_loss: 0.207 | rec_r_loss: 0.137| rec_l_loss: 0.140| total_loss: 0.640 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.025 
Epoch:0 (92/755) Data: 0.000691s | Batch: 0.119s | future_traj_r_loss: 0.234 | future_traj_l_loss: 0.199 | rec_r_loss: 0.146| rec_l_loss: 0.141| total_loss: 0.706 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.043 
Epoch:0 (93/755) Data: 0.000722s | Batch: 0.119s | future_traj_r_loss: 0.221 | future_traj_l_loss: 0.129 | rec_r_loss: 0.136| rec_l_loss: 0.139| total_loss: 0.537 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.035 
Epoch:0 (94/755) Data: 0.000771s | Batch: 0.118s | future_traj_r_loss: 0.259 | future_traj_l_loss: 0.190 | rec_r_loss: 0.132| rec_l_loss: 0.136| total_loss: 0.683 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.044 
Epoch:0 (95/755) Data: 0.000719s | Batch: 0.118s | future_traj_r_loss: 0.229 | future_traj_l_loss: 0.202 | rec_r_loss: 0.129| rec_l_loss: 0.124| total_loss: 0.670 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.045 
Epoch:0 (96/755) Data: 0.000724s | Batch: 0.118s | future_traj_r_loss: 0.196 | future_traj_l_loss: 0.276 | rec_r_loss: 0.132| rec_l_loss: 0.138| total_loss: 0.715 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.060 
Epoch:0 (97/755) Data: 0.229075s | Batch: 0.120s | future_traj_r_loss: 0.180 | future_traj_l_loss: 0.195 | rec_r_loss: 0.130| rec_l_loss: 0.132| total_loss: 0.674 | future_valid_r: 32.0 | future_valid_l: 26.0 | obj_loss: 0.029 
Epoch:0 (98/755) Data: 0.000768s | Batch: 0.119s | future_traj_r_loss: 0.142 | future_traj_l_loss: 0.162 | rec_r_loss: 0.123| rec_l_loss: 0.124| total_loss: 0.538 | future_valid_r: 32.0 | future_valid_l: 23.0 | obj_loss: 0.032 
